,품목명,품목코드,품종명,품종코드,"상태(상품, 중품)",상태코드,단위,일자(조회일자),조회일자 가격,1일전 일자(조회일자 기준),1일전 가격,1주일전 일자(조회일자 기준),1주일전 가격,2주일전 일자(조회일자 기준),2주일전 가격,1개월전 일자(조회일자 기준),1개월전 가격,1년전 일자(조회일자 기준),1년전 가격,평년일자,평년 가격
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (05/04),13720.0,1일전 (05/03),13780.0,1주일전 (04/27),13540.0,2주일전 (04/20),14440.0,1개월전,18256.0,1년전,14000.0,일평년,15056.0
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (05/04),9570.0,1일전 (05/03),9636.0,1주일전 (04/27),8996.0,2주일전 (04/20),9930.0,1개월전,13352.0,1년전,9760.0,일평년,11125.0
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (05/05),,1일전 (05/04),13720.0,1주일전 (04/28),13800.0,2주일전 (04/21),14360.0,1개월전,18256.0,1년전,14000.0,일평년,15056.0
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (05/05),,1일전 (05/04),9570.0,1주일전 (04/28),9262.0,2주일전 (04/21),9850.0,1개월전,13352.0,1년전,9760.0,일평년,11125.0
30,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (05/06),13940.0,1일전 (05/05),,1주일전 (04/29),14200.0,2주일전 (04/22),14360.0,1개월전,18048.0,1년전,14160.0,일평년,15008.0
31,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (05/06),9786.0,1일전 (05/05),,1주일전 (04/29),9662.0,2주일전 (04/22),9850.0,1개월전,13196.0,1년전,9920.0,일평년,11078.0
30,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (05/07),,1일전 (05/06),13940.0,1주일전 (04/30),,2주일전 (04/23),,1개월전,18048.0,1년전,14160.0,일평년,15008.0
31,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (05/07),,1일전 (05/06),9786.0,1주일전 (04/30),,2주일전 (04/23),,1개월전,13196.0,1년전,9920.0,일평년,11078.0
30,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (05/09),13740.0,1일전 (05/08),,1주일전 (05/02),13800.0,2주일전 (04/25),13640.0,1개월전,17140.0,1년전,,일평년,14841.0
31,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (05/09),9596.0,1일전 (05/08),,1주일전 (05/02),9462.0,2주일전 (04/25),9130.0,1개월전,12290.0,1년전,,일평년,10831.0
